Title,Genre,Year,Director
The Shawshank Redemption,Drama,1994,Frank Darabont
The Godfather,Drama | Crime,1972,Francis Ford Coppola
The Godfather: Part II,Drama | Crime,1974,Francis Ford Coppola
The Dark Knight,Drama | Action | Thriller | Crime,2008,Christopher Nolan
12 Angry Men,Drama,1957,Sidney Lumet
Schindler's List,Drama | Biography | History,1993,Steven Spielberg
The Lord of the Rings: The Return of the King,Drama | Adventure | Fantasy | Action,2003,Peter Jackson
Pulp Fiction,Drama | Crime,1994,Quentin Tarantino
"Il buono, il brutto, il cattivo",Western,1966,Sergio Leone
Fight Club,Drama,1999,David Fincher
The Lord of the Rings: The Fellowship of the Ring,Drama | Fantasy | Adventure,2001,Peter Jackson
Forrest Gump,Drama | Romance,1994,Robert Zemeckis
Star Wars: Episode V - The Empire Strikes Back,Adventure | Fantasy | Action,1980,Irvin Kershner
Inception,Adventure | Action | Thriller,2010,Christopher Nolan
The Lord of the Rings: The Two Towers,Drama | Fantasy | Adventure,2002,Peter Jackson
One Flew Over the Cuckoo's Nest,Drama,1975,Milos Forman
Goodfellas,Drama | Crime,1990,Martin Scorsese
The Matrix,Action,1999,Lana Wachowski
Shichinin no samurai,Drama | Adventure,1954,Akira Kurosawa
Cidade de Deus,Drama | Crime,2002,Fernando Meirelles
Se7en,Drama | Thriller | Mystery | Crime,1995,David Fincher
Star Wars,Adventure | Fantasy | Action,1977,George Lucas
The Silence of the Lambs,Drama | Thriller | Crime,1991,Jonathan Demme
It's a Wonderful Life,Drama | Fantasy | Family,1946,Frank Capra
La vita è bella,War | Drama | Comedy | Romance,1997,Roberto Benigni
The Usual Suspects,Thriller | Mystery | Crime,1995,Bryan Singer
Sen to Chihiro no kamikakushi,Adventure | Animation | Mystery | Family | Fantasy,2001,Hayao Miyazaki
Saving Private Ryan,Drama | War,1998,Steven Spielberg
Léon,Drama | Thriller | Crime,1994,Luc Besson
Spider-Man: Into the Spider-Verse,Comedy | Adventure | Animation | Family | Action,2018,Bob Persichetti
The Green Mile,Drama | Fantasy | Mystery | Crime,1999,Frank Darabont
Interstellar,Drama | Adventure,2014,Christopher Nolan
Psycho,Thriller | Horror | Mystery,1960,Alfred Hitchcock
American History X,Drama,1998,Tony Kaye
City Lights,Drama | Comedy | Romance,1931,Charles Chaplin
C'era una volta il West,Western,1968,Sergio Leone
Casablanca,War | Drama | Romance,1942,Michael Curtiz
Modern Times,Drama | Comedy | Romance | Family,1936,Charles Chaplin
The Pianist,Drama | Biography | War | Music,2002,Roman Polanski
Intouchables,Drama | Biography | Comedy,2011,Olivier Nakache
The Departed,Drama | Thriller | Crime,2006,Martin Scorsese
Terminator 2: Judgment Day,Action,1991,James Cameron
Back to the Future,Comedy | Adventure,1985,Robert Zemeckis
Whiplash,Drama | Music,2014,Damien Chazelle
Rear Window,Thriller | Mystery,1954,Alfred Hitchcock
Raiders of the Lost Ark,Adventure | Action,1981,Steven Spielberg
The Lion King ,Adventure | Animation | Family | Drama | Musical,1994,Roger Allers
